index,GOLDAMGBDollarD228NLBM,Industrial Production_Manufacturing (NAICS),"All Employees, Retail Trade",Unemployment_Rate,IndustrialProductionGoldSilver21222S,Federal Debt Held by Federal Reserve Banks,FEDFUNDS,Fed Debt_Total Public Debt as Perc of GDP,gold_pred_x,gold_pred_y,gold_pred_x.1,gold_pred_y.1,gold_pred
1970-01-31,34.945952380952384,36.6924,7315.5,3.9,24.9872,55.8,8.98,35.38879,56.211224,35.69578,35.69578,35.69578,35.69578
1970-02-28,34.99375,36.6924,7260.4,4.2,24.9872,56.35260363754987,8.98,35.18258429355249,55.765514,37.37205,37.37205,37.37205,37.37205
1970-03-31,35.08849999999999,36.6924,7319.8,4.4,24.9872,57.01276248600921,7.76,34.87462423702713,48.14613,37.3278,37.3278,37.3278,37.3278
1970-04-30,35.62340909090909,36.6924,7400.3,4.6,24.9872,57.7,8.1,34.67329,51.950176,43.06712,43.06712,43.06712,43.06712
1970-05-31,35.95824999999999,36.6924,7436.6,4.8,24.9872,58.460132013788325,7.94,34.60057073277522,52.06013,45.733105,45.733105,45.733105,45.733105
1970-06-30,35.43727272727273,36.6924,7481.8,4.9,24.9872,59.233035446257574,7.6,34.662017067586326,51.136517,44.757153,44.757153,44.757153,44.757153
1970-07-31,35.32934782608695,36.6924,7423.5,5.0,24.9872,60.0,7.21,34.86717,48.122356,40.67912000000001,40.67912000000001,40.679120000000005,40.67912
1970-08-31,35.37725000000001,36.6924,7401.2,5.1,24.9872,60.723103067708905,6.61,35.21720584214015,44.622143,36.844615999999995,36.844616,36.844615999999995,36.844616
1970-09-30,36.19613636363636,36.6924,7456.5,5.4,24.9872,61.38984676076088,6.29,35.632139355573024,44.7028,37.11598,37.11598,37.11598,37.11598
1970-10-31,37.55272727272728,36.6924,7512.5,5.5,24.9872,62.1,6.2,35.74822,45.50526,38.85911,38.85911,38.85911,38.85911
1970-11-30,37.454761904761895,36.6924,7611.9,5.9,24.9872,62.816474954980364,5.6,35.49620002397931,44.464947,42.525524,42.525524,42.525524,42.525524
1970-12-31,37.43386363636363,36.6924,7962.3,6.1,24.9872,63.56701442395972,4.9,34.929858264003876,46.757305,53.130413,53.130413,53.130413,53.130413
1971-01-31,37.86749999999999,36.6924,7452.5,5.9,24.9872,64.2,4.14,34.50345,33.22273,31.623426000000002,31.623426,31.623426000000002,31.623426
1971-02-28,38.716,36.6924,7374.2,5.9,24.9872,64.65110823420495,3.72,34.30760634787421,29.73503,28.959821999999996,28.959822,28.959821999999996,28.959822
1971-03-31,38.87282608695652,36.6924,7423.1,6.0,24.9872,65.0448776579572,3.71,34.28526772721329,30.62052700000001,30.873274,30.873274,30.873274,30.873274
1971-04-30,39.00099999999999,36.6924,7549.5,5.9,24.9872,65.5,4.15,34.360890000000005,34.871593,33.9976,33.9976,33.9976,33.9976
1971-05-31,40.4925,36.6924,7608.5,5.9,24.9872,66.08290846445473,4.63,34.51997081284277,38.323254,37.5731,37.5731,37.5731,37.5731
1971-06-30,40.104772727272746,36.6924,7668.8,5.9,24.9872,66.75980964694153,4.91,34.7452009321491,40.88453300000001,40.74342,40.74342,40.74342,40.74342
1971-07-31,40.9293181818182,36.6924,7625.3,6.0,24.9872,67.6,5.31,35.00694,42.88844,43.590862,43.590862,43.590862,43.590862
1971-08-31,42.72184210526316,36.6924,7637.1,6.1,24.9872,68.58722844613132,5.56,35.29075559830096,45.029736,48.275677,48.275677,48.275677,48.275677
1971-09-30,41.97636363636364,36.6924,7704.1,6.0,24.9872,69.60188583778529,5.55,35.55652190588005,46.177044,47.753184999999995,47.753185,47.753184999999995,47.753185
1971-10-31,42.476190476190474,36.6924,7748.7,5.8,24.9872,70.2,5.2,35.63237,44.525524,41.920574,41.920574,41.920574,41.920574
1971-11-30,42.842045454545456,36.6924,7882.0,6.0,24.9872,70.26225809745637,4.91,35.483492708929674,45.578167,47.077282000000004,47.077282,47.077282000000004,47.077282
1971-12-31,43.44642857142857,36.6924,8230.5,6.0,24.9872,69.91181483485333,4.14,35.12582885185225,47.11717,53.713756999999994,53.713757,53.713756999999994,53.713757
1972-01-31,45.640238095238104,36.6924,7793.2,5.8,24.9872,69.9,3.5,34.72622,35.93394,37.250409999999995,37.25041,37.250409999999995,37.25041
1972-02-29,48.23666666666666,36.9567,7738.0,5.7,26.2182,70.31808891946618,3.29,34.341060146101086,34.28349,35.644115,35.644115,35.644115,35.644115
1972-03-31,48.28840909090909,37.1965,7793.2,5.8,26.5612,71.09580094369858,3.83,33.93707810274,37.98158,39.55125,39.55125,39.55125,39.55125
1972-04-30,49.02605263157895,37.644,7915.3,5.7,25.5496,71.4,4.17,33.67383,41.00584,43.799664,43.799664,43.799664,43.799664
1972-05-31,54.5,37.6836,7974.9,5.7,25.8149,71.1053895356769,4.27,33.55635575670527,42.583874,46.78068,46.78068,46.78068,46.78068
1972-06-30,62.17045454545453,37.8022,8049.7,5.7,23.8359,70.33534570967613,4.46,33.57528623071935,43.81419,50.266155,50.266155,50.266155,50.266155
1972-07-31,65.55833333333335,37.8128,7990.2,5.6,22.6023,69.7,4.55,33.62447,42.543285,47.76179000000001,47.76179000000001,47.761790000000005,47.76179
1972-08-31,66.91704545454544,38.3031,8011.7,5.6,18.9615,69.33726548895544,4.8,33.685961497396576,42.696728,51.43046,51.43046,51.43046,51.43046
1972-09-30,65.58928571428572,38.5731,8070.0,5.5,21.226,69.2968883770571,4.87,33.747052581990516,44.906994,51.95387,51.95387,51.95387,51.95387
1972-10-31,64.82363636363635,39.1695,8154.7,5.6,22.1484,69.9,5.04,33.74758,48.066998,59.08143199999999,59.08143199999999,59.08143199999999,59.081432
1972-11-30,62.72568181818181,39.6756,8332.3,5.3,21.5958,71.15878404495045,5.06,33.677374311855104,50.523693,63.273906999999994,63.273907,63.273906999999994,63.273907
1972-12-31,63.77894736842106,40.2595,8664.1,5.2,21.2403,72.99079094669584,5.33,33.5297353756362,57.918896,78.002,78.002,78.002,78.002
1973-01-31,65.12681818181817,40.5321,8157.0,4.9,22.072,74.3,5.94,33.29287,51.60560200000001,61.001842,61.001842,61.001842,61.001842
1973-02-28,73.97125000000003,41.1963,8081.8,5.0,21.9871,74.8704563769929,6.58,33.00025983664677,54.00279000000001,68.282364,68.282364,68.282364,68.282364
1973-03-31,84.10468181818182,41.2768,8136.7,4.9,19.9682,74.9197627715084,7.09,32.61472659690913,57.188427,77.52311999999998,77.52311999999998,77.52311999999999,77.52312
1973-04-30,90.44078947368422,41.2179,8254.8,5.0,19.3753,75.0,7.12,32.34466,63.511272,85.64494,85.64494,85.64494,85.64494
1973-05-31,101.62272727272726,41.4853,8334.4,4.9,20.0875,75.24000028276417,7.84,32.20510615943371,82.15343,96.75108,96.75108,96.75108,96.75108
1973-06-30,119.79999999999998,41.4705,8402.7,4.9,19.8371,75.62657045885119,8.49,32.18167592182951,101.36345,108.04368600000001,108.043686,108.04368600000001,108.043686
1973-07-31,120.36363636363636,41.6769,8334.1,4.8,21.5621,76.2,10.4,32.12455,143.32457,114.7874,114.7874,114.7874,114.7874
1973-08-31,106.225,41.5521,8337.4,4.8,21.0822,76.9526611519766,10.5,32.00940116726573,145.35112,115.986465,115.986465,115.986465,115.986465
1973-09-30,103.03375,41.94600000000001,8414.1,4.8,18.991,77.80309719352334,10.78,31.85977615378391,155.45463999999996,121.03978000000001,121.03978,121.03978000000001,121.03978
1973-10-31,99.92282608695652,42.2962,8485.1,4.6,19.7926,78.5,10.01,31.77379,138.34248,111.71073999999999,111.71074,111.71073999999999,111.71074
1973-11-30,94.64545454545454,42.6218,8648.6,4.8,19.224,78.94981001540158,10.03,31.77404508000275,150.4116,127.29328999999998,127.29328999999998,127.29328999999998,127.29329
1973-12-31,106.23611111111113,42.6488,8903.0,4.9,19.2984,79.21661386583101,9.95,31.83182247682804,164.61983,140.03508,140.03508,140.03508,140.03508
1974-01-31,129.02727272727273,42.2744,8361.6,5.1,18.3974,79.5,9.65,31.76449,127.471176,127.93065,127.93065,127.93065,127.93065
1974-02-28,150.0,42.091,8246.6,5.2,18.9821,79.80356170318404,8.97,31.56803683349123,104.60991,117.20063999999999,117.20064,117.20063999999999,117.20064
1974-03-31,168.29761904761904,42.0853,8283.4,5.1,19.9475,80.17946679005796,9.35,31.232251469154395,113.87279,123.08412,123.08412,123.08412,123.08412
1974-04-30,172.2175,41.8849,8422.9,5.1,20.5436,80.5,10.51,30.99462,149.63646,138.76198,138.76198,138.76198,138.76198
1974-05-31,163.56818181818178,42.1703,8514.8,5.1,20.2939,80.76985061610443,11.31,30.880588576918232,174.05772,144.27876,144.27876,144.27876,144.27876
1974-06-30,154.0125,42.2289,8572.1,5.4,19.7364,80.95898452114746,11.93,30.87796641118501,195.77315,162.7152,162.7152,162.7152,162.7152
1974-07-31,142.2826086956522,42.1487,8548.4,5.5,18.3143,81.0,12.92,30.86269,219.30794,171.79674,171.79674,171.79674,171.79674
1974-08-31,154.36190476190475,41.7946,8535.8,5.5,16.5819,80.87080199703047,12.01,30.81411035676321,195.5785,168.77376,168.77376,168.77376,168.77376
1974-09-30,151.65952380952382,41.8679,8622.8,5.9,18.2191,80.62415775017205,11.34,30.754146107041755,188.93752,184.08522,184.08522,184.08522,184.08522
1974-10-31,158.5326086956522,41.5436,8671.9,6.0,18.5848,80.5,10.06,30.79768,161.82262,167.56087,167.56087,167.56087,167.56087
1974-11-30,181.48333333333332,40.2681,8750.6,6.6,18.7033,80.5467909087501,9.45,30.960660818355787,158.85548,174.5913,174.5913,174.5913,174.5913
1974-12-31,183.6825,38.4303,8935.0,7.2,18.3034,80.79276084927585,8.53,31.239265798171235,154.74696,170.59242,170.59242,170.59242,170.59242
1975-01-31,176.86363636363637,37.6185,8411.1,8.1,19.2414,81.4,7.13,31.536040000000003,108.120255,135.63045,135.63045,135.63045,135.63045
1975-02-28,179.5525,36.5552,8298.3,8.1,17.99,82.28354980235343,6.24,31.80534675775389,84.41225,127.23926999999999,127.23927,127.23926999999999,127.23927
1975-03-31,178.20263157894738,36.0622,8328.3,8.6,16.4235,83.56801985227081,5.54,32.09236647606466,82.4901,141.04842,141.04842,141.04842,141.04842
1975-04-30,170.06590909090912,36.0197,8414.1,8.8,17.9004,84.7,5.49,32.27817,90.80989,178.2469,178.2469,178.2469,178.2469
1975-05-31,167.29285714285714,35.9752,8523.6,9.0,17.7252,85.6711472564086,5.22,32.35892164507048,95.204605,242.32098,242.32098,242.32098,242.32098
1975-06-30,164.25,36.2888,8614.3,8.8,18.6439,86.41957009999365,5.55,32.349908041697475,103.37071,210.45557999999997,210.45558,210.45557999999997,210.45558
1975-07-31,164.86739130434785,36.7949,8601.8,8.6,18.3607,87.0,6.1,32.38043,110.581406,175.06874,175.06874,175.06874,175.06874
1975-08-31,163.16750000000005,37.2038,8638.4,8.4,18.1499,87.38512807711412,6.14,32.472967857638146,109.53987,148.14241,148.14241,148.14241,148.14241
1975-09-30,144.3113636363636,37.8323,8698.0,8.4,19.1779,87.60668160802167,6.24,32.610292801274916,115.98497,151.93065,151.93065,151.93065,151.93065
1975-10-31,142.6913043478261,38.0382,8729.8,8.4,18.5596,87.9,5.82,32.7301,108.865585,146.99251,146.99251,146.99251,146.99251
1975-11-30,142.565,38.1558,8851.9,8.3,19.0059,88.28096177451607,5.22,32.813384738952195,100.742905,135.70201,135.70201,135.70201,135.70201
1975-12-31,139.27857142857144,38.643,9136.3,8.2,19.8301,88.8205859985682,5.2,32.876483127968676,114.810196,141.46812,141.46812,141.46812,141.46812
1976-01-31,131.6952380952381,39.1713,8701.4,7.9,19.137,89.8,4.87,32.98513,78.30806,121.45496999999999,121.45497,121.45496999999999,121.45497
1976-02-29,130.94,39.7897,8633.2,7.7,18.2271,91.16136275747739,4.77,33.139110474826076,69.22734,116.22413999999999,116.22414,116.22413999999999,116.22414
1976-03-31,132.67608695652171,39.8599,8684.7,7.6,18.2745,92.97807043157353,4.84,33.344828585722425,72.1013,115.98173500000001,115.981735,115.98173500000001,115.981735
1976-04-30,127.91,40.1054,8863.3,7.7,18.4704,94.4,4.82,33.494640000000004,83.47322,121.711044,121.711044,121.711044,121.711044
1976-05-31,126.9125,40.3213,8952.8,7.4,17.523,95.39181000600641,5.29,33.58165360685825,91.79509,129.15135,129.15135,129.15135,129.15135
1976-06-30,125.68409090909094,40.3277,8988.3,7.6,18.1481,95.93988375458936,5.48,33.610000359301026,102.06636,133.01692,133.01692,133.01692,133.01692
1976-07-31,117.8659090909091,40.6281,8973.3,7.8,18.8452,96.4,5.31,33.64333,102.14894,130.95113,130.95113,130.95113,130.95113
1976-08-31,110.05476190476186,40.8932,9007.3,7.8,18.7144,96.80505155941923,5.29,33.69099846716289,103.82173,132.08595,132.08595,132.08595,132.08595
1976-09-30,114.09772727272724,40.9732,9081.2,7.6,18.8674,97.09768271190686,5.25,33.74662035311773,102.96791,132.98897,132.98897,132.98897,132.98897
1976-10-31,116.09523809523813,40.9448,9082.2,7.7,18.0138,97.0,5.02,33.78753,100.12285,131.87627,131.87627,131.87627,131.87627
1976-11-30,130.3409090909091,41.4707,9205.4,7.8,17.7141,96.47138022193087,4.95,33.806926714386094,107.8618,136.46696,136.46696,136.46696,136.46696
1976-12-31,133.67380952380955,41.9129,9466.2,7.8,17.3776,95.68649634448008,4.65,33.79199197851427,115.93599,143.49919,143.49919,143.49919,143.49919
1977-01-31,132.30625,41.8246,9030.6,7.5,18.7068,96.0,4.61,33.65136,84.51085,123.81190500000001,123.811905,123.81190500000001,123.811905
1977-02-28,136.1625,42.5735,8918.2,7.6,18.4444,97.43253658014551,4.68,33.40249771665355,81.0544,122.51488,122.51488,122.51488,122.51488
1977-03-31,148.33913043478262,43.1864,9026.0,7.4,19.355999999999998,100.06486252863421,4.69,33.02863208910594,81.47743,126.65471000000001,126.65471,126.65471000000001,126.65471
1977-04-30,149.18421052631578,43.6171,9186.0,7.2,18.7753,102.2,4.73,32.80422,85.5211,134.08266,134.08266,134.08266,134.08266
1977-05-31,146.53636363636363,43.9977,9299.4,7.0,19.7583,103.68736773945308,5.35,32.761634711806465,101.837814,143.42546000000004,143.42546000000004,143.42546000000002,143.42546
1977-06-30,140.8275,44.3683,9381.7,7.2,19.6755,104.45434738346209,5.39,32.87685517194397,110.426315,147.94673,147.94673,147.94673,147.94673
1977-07-31,143.39761904761906,44.3774,9366.0,6.9,18.5828,104.7,5.42,32.98791,106.762314,147.3491,147.3491,147.3491,147.3491
1977-08-31,145.00909090909087,44.5811,9408.2,7.0,19.3327,104.41430840667988,5.9,33.062713034068345,122.596664,153.67458,153.67458,153.67458,153.67458
1977-09-30,149.3340909090909,44.6218,9499.6,6.8,19.0728,103.68501600843672,6.14,33.11278019195147,131.69865,159.59861999999995,159.59861999999995,159.59861999999998,159.59862
1977-10-31,158.84761904761905,44.739,9529.2,6.8,20.1741,102.8,6.47,33.21873,142.27171,162.78151,162.78151,162.78151,162.78151
1977-11-30,162.13181818181818,44.821999999999996,9706.6,6.8,21.0989,101.86945198555202,6.51,33.385920648059766,154.53014,167.87276,167.87276,167.87276,167.87276
1977-12-31,160.48000000000005,45.3241,10004.3,6.4,21.9856,101.0317285886018,6.56,33.57958532568553,169.65422,176.63759,176.63759,176.63759,176.63759
1978-01-31,173.20714285714286,44.6628,9545.0,6.4,19.4106,101.6,6.7,33.5012,145.28423,161.14231999999996,161.14231999999996,161.14231999999998,161.14232
1978-02-28,178.36,44.8005,9425.8,6.3,20.502,103.51773327485049,6.78,33.15166735759952,138.06288,156.6743,156.6743,156.6743,156.6743
1978-03-31,183.77142857142857,45.5864,9521.2,6.3,19.633,106.96110654106131,6.79,32.525127920962504,141.02193,164.12572,164.12572,164.12572,164.12572
1978-04-30,175.32250000000005,46.3441,9696.4,6.1,18.956,110.1,6.89,32.12444,149.56123,170.74968,170.74968,170.74968,170.74968
1978-05-31,176.19047619047618,46.523,9826.7,6.0,18.2244,112.83967942666656,7.36,32.012290552670244,166.86015,181.1545,181.1545,181.1545,181.1545
1978-06-30,183.76136363636363,46.8963,9921.7,5.9,18.9155,114.85076314365774,7.6,32.14556808133865,177.86876,185.59532,185.59532,185.59532,185.59532
1978-07-31,188.56904761904758,46.8701,9919.2,6.2,16.858,115.3,7.81,32.21407,185.81609,194.92775,194.92775,194.92775,194.92775
1978-08-31,206.45454545454547,47.1209,9949.8,5.9,19.0676,113.93334959605646,8.04,32.159340950730694,190.38988,192.07253,192.07253,192.07253,192.07253
1978-09-30,212.21190476190475,47.3703,10018.8,6.0,19.145,111.27078634424028,8.45,32.00714615351832,205.01479,202.2629,202.2629,202.2629,202.2629
1978-10-31,227.43181818181813,47.7231,10048.2,5.8,19.9431,109.6,8.96,31.86206,216.70692000000003,205.79607,205.79607,205.79607,205.79607
1978-11-30,207.08181818181814,48.1665,10225.9,5.9,18.995,109.41775142408123,9.76,31.751543981199713,247.0422,240.7049,240.7049,240.7049,240.7049
1978-12-31,207.89473684210535,48.5285,10490.5,6.0,18.2551,110.43406510470012,10.03,31.659691916265945,269.57034,281.1491,281.1491,281.1491,281.1491
1979-01-31,226.98636363636368,48.1248,10023.1,5.9,17.6575,110.9,10.07,31.53601,241.52051,239.13157999999999,239.13158,239.13157999999999,239.13158
1979-02-28,245.59,48.2899,9897.4,5.9,17.3903,110.5760841544937,10.06,31.388588740616488,233.3038,232.16515,232.16515,232.16515,232.16515
1979-03-31,242.34772727272733,48.5268,9975.1,5.8,17.0007,109.63467567601332,10.09,31.19780348446533,236.58669,233.6386,233.6386,233.6386,233.6386
1979-04-30,239.17368421052632,47.7418,10103.8,5.8,17.214000000000002,109.7,10.01,31.06277,241.66684,239.9002,239.9002,239.9002,239.9002
1979-05-31,257.7380952380953,48.3654,10170.8,5.6,17.9906,111.08947516778649,10.24,30.98998017627975,248.91867,239.52336,239.52336,239.52336,239.52336
1979-06-30,279.3595238095238,48.4134,10200.9,5.7,17.8046,113.47454084693857,10.29,30.977664054058426,252.8277,249.49861,249.49861,249.49861,249.49861
1979-07-31,295.0090909090909,48.4609,10126.8,5.7,19.6321,115.5,10.47,30.98402,253.38316,248.75667,248.75667,248.75667,248.75667
1979-08-31,300.7931818181818,47.812,10149.0,6.0,20.3538,116.82822404444444,10.94,31.00298023367289,269.77783,289.12088,289.12088,289.12088,289.12088
1979-09-30,354.4975,47.9403,10218.3,5.9,19.0614,117.4597381443841,11.43,31.027913004224995,284.34,310.7344700000001,310.7344700000001,310.73447000000004,310.73447
1979-10-31,390.95869565217384,48.1137,10259.2,6.0,18.867,117.5,13.77,31.02615,344.9223,471.7245,471.7245,471.7245,471.7245
1979-11-30,391.51818181818186,47.9685,10428.2,5.9,18.5987,116.95640875598,13.18,30.992388159783125,338.98865,428.54834000000005,428.54834000000005,428.54834000000005,428.54834
1979-12-31,463.6657894736842,48.15600000000001,10663.2,6.0,18.3057,116.07799436993255,13.78,30.937893922481948,368.10376,508.70724,508.70724,508.70724,508.70724
1980-01-31,674.5795454545455,48.3631,10162.8,6.3,18.3473,116.7,13.82,30.94982000000001,343.4582,678.4401,678.4401,678.4401,678.4401
1980-02-29,665.8928571428571,48.2709,10046.1,6.3,18.7832,118.93405527541292,14.13,31.0350306880928,344.5742,675.5912,675.5912,675.5912,675.5912
1980-03-31,554.2761904761903,47.917,10089.0,6.3,17.9257,122.60539633751772,17.19,31.19695805054128,419.36862,581.9202,581.9202,581.9202,581.9202
1980-04-30,516.71,46.8814,10150.5,6.9,18.819000000000006,124.5,17.61,31.37303,438.4354,575.39795,575.39795,575.39795,575.39795
1980-05-31,514.2675,45.4235,10214.9,7.5,18.9067,124.19472957389624,10.98,31.56551706442562,291.91113,613.8648,613.8648,613.8648,613.8648
1980-06-30,600.7857142857142,44.7099,10245.9,7.6,18.299,122.11568836465895,9.47,31.740871363993946,259.5587,623.07776,623.07776,623.07776,623.07776
1980-07-31,645.75,44.1788,10199.3,7.8,13.232000000000001,120.7,9.03,31.77687,246.99849,674.117,674.117,674.117,674.117
1980-08-31,626.36,44.5309,10247.4,7.7,11.4228,120.4558164802216,9.61,31.64309588746379,261.7596,696.0169999999997,696.0169999999998,696.0169999999999,696.017
1980-09-30,673.9409090909091,45.2803,10290.1,7.5,14.0933,121.11206789715095,10.87,31.381003918891874,291.82495,665.0992,665.0992,665.0992,665.0992
1980-10-31,662.2695652173912,46.137,10273.9,7.5,15.3897,121.3,12.81,31.156999999999996,335.92822,615.40485,615.40485,615.40485,615.40485
1980-11-30,623.875,47.0082,10410.7,7.5,16.3809,120.78461753551248,15.85,31.01454911595837,414.75916,594.4793,594.4793,594.4793,594.4793
1980-12-31,596.7119047619047,47.1251,10655.4,7.2,21.8019,119.68614810876792,18.9,30.93575598749418,498.706,471.23352,471.23352,471.23352,471.23352
1981-01-31,557.8125,46.9789,10169.4,7.5,20.6861,119.0,19.08,30.872840000000004,477.42172,537.44543,537.44543,537.44543,537.44543
1981-02-28,500.8,46.7234,10065.0,7.4,21.5676,118.88582920903688,15.93,30.821446080364517,396.64807,557.5918,557.5918,557.5918,557.5918
1981-03-31,499.6931818181818,46.878,10106.6,7.4,21.4016,119.28746887528351,14.7,30.76858782906341,369.82608,549.70825,549.70825,549.70825,549.70825
1981-04-30,496.625,47.1214,10272.9,7.2,21.0311,120.0,15.72,30.70875,401.2389,552.4426,552.4426,552.4426,552.4426
1981-05-31,480.31578947368416,47.3428,10377.4,7.5,21.0939,121.02987454923624,18.52,30.63538805280355,475.07724,518.4071,518.4071,518.4071,518.4071
1981-06-30,460.5,47.089,10445.2,7.5,23.0563,122.35023578366273,19.1,30.568814456386853,492.64963,470.56512000000004,470.56512,470.56512000000004,470.56512
1981-07-31,409.2840909090909,47.1991,10421.2,7.2,25.8919,124.3,19.04,30.60333,488.1386,445.8443,445.8443,445.8443,445.8443
1981-08-31,410.24,47.2307,10461.4,7.4,24.2405,126.88632866493477,17.82,30.75921005029692,463.57175,462.68057000000016,462.6805700000001,462.68057000000005,462.68057
1981-09-30,443.77272727272725,46.9945,10480.2,7.6,25.3772,129.69394861016588,15.87,31.018764705123786,421.64322,460.366,460.366,460.366,460.366
1981-10-31,437.6795454545455,46.5648,10433.0,7.9,24.5897,131.0,15.08,31.35587,404.01144,423.9196,423.9196,423.9196,423.9196
1981-11-30,413.4047619047618,45.9601,10504.2,8.3,24.6025,130.41884854967265,13.31,31.74192502401453,371.26865,394.60617,394.60617,394.60617,394.60617
1981-12-31,410.1190476190477,45.1479,10696.1,8.5,24.2737,128.2449099844535,12.37,32.169356977331674,363.37778,373.96362,373.96362,373.96362,373.96362
1982-01-31,384.1625,44.0577,10192.1,8.6,23.3448,126.6,13.22,32.41298,356.5216,398.12557999999996,398.12558,398.12557999999996,398.12558
1982-02-28,374.4575,45.2876,10080.1,8.9,24.0695,125.89479729038187,14.78,32.44246377474137,389.58292,378.4954,378.4954,378.4954,378.4954
1982-03-31,329.97727272727275,44.8922,10117.6,9.0,25.8047,125.98630830246988,14.68,32.319515257536445,390.0248,361.5434,361.5434,361.5434,361.5434
1982-04-30,350.33500000000015,44.5935,10255.4,9.3,25.788,127.0,14.94,32.40213,408.761,350.287,350.287,350.287,350.287
1982-05-31,334.50526315789483,44.5046,10383.1,9.4,27.0755,129.01396801270096,14.45,32.76753815534973,408.84723,341.75458,341.75458,341.75458,341.75458
1982-06-30,314.9613636363636,44.4258,10459.8,9.6,23.2418,131.74460475862568,14.15,33.35044511943871,413.65512,340.01935,340.01935,340.01935,340.01935
1982-07-31,337.89545454545447,44.38399999999999,10440.1,9.8,22.8783,134.4,12.59,33.9253,390.1227,366.82782000000003,366.82782,366.82782000000003,366.82782
1982-08-31,363.4130952380953,43.9721,10466.5,9.8,22.0895,136.72500703610746,10.12,34.42840475758747,341.8171700000001,405.4128,405.4128,405.4128,405.4128
1982-09-30,438.15,43.8579,10469.8,10.1,22.1236,138.55035098154605,10.31,34.84405925410592,362.07785,408.74573,408.74573,408.74573,408.74573
1982-10-31,422.78571428571433,43.3318,10417.2,10.4,23.6954,139.3,9.71,35.18156,358.11908,422.07525999999996,422.07526,422.07525999999996,422.07526
1982-11-30,415.1136363636364,43.0275,10507.0,10.8,25.8076,138.81550035230356,9.2,35.416227352057916,369.08047,462.24605999999994,462.24606,462.24605999999994,462.24606
1982-12-31,444.7761904761903,42.8779,10729.0,10.8,24.5949,137.34709842582214,8.95,35.58651357615255,383.0826,442.52835,442.52835,442.52835,442.52835
1983-01-31,481.8375,43.935,10284.0,10.4,26.6297,136.7,8.68,35.82911,327.9174799999999,464.3799,464.3799,464.3799,464.3799
1983-02-28,493.4875,43.91,10157.1,10.4,26.9112,137.09776647915257,8.51,36.132686243391966,316.56854,531.854,531.854,531.854,531.854
1983-03-31,420.7065217391304,44.323,10234.1,10.3,27.1643,138.67953866651501,8.77,36.54106697944845,328.43784,447.83795,447.83795,447.83795,447.83795
1983-04-30,433.1710526315789,44.8522,10395.4,10.2,29.0716,141.7,8.8,36.87167,339.08585,432.42282,432.42282,432.42282,432.42282
1983-05-31,437.3925,45.4357,10532.2,10.1,31.38,146.4303156215667,8.63,37.119048448426696,341.57648,429.31015,429.31015,429.31015,429.31015
1983-06-30,413.14772727272725,45.8074,10664.8,10.1,31.7899,152.0215222633317,8.98,37.26777073592726,361.10715,419.62082000000004,419.62082,419.62082000000004,419.62082
1983-07-31,422.645238095238,46.5099,10707.0,9.4,32.3551,155.4,9.37,37.3311,345.39822000000015,393.31372000000016,393.3137200000001,393.31372000000005,393.31372
1983-08-31,416.2045454545456,46.8646,10760.0,9.5,34.0568,155.76892645848957,9.56,37.30315254742136,356.0257,391.94998,391.94998,391.94998,391.94998
