DATE,OEHRENWBSHNO
1978-10-01,1502.236
1979-01-01,1591.248
1979-04-01,1674.961
1979-07-01,1731.468
1979-10-01,1776.547
1980-01-01,1853.068
1980-04-01,1910.998
1980-07-01,1996.673
1980-10-01,2016.635
1981-01-01,2036.183
1981-04-01,2181.092
1981-07-01,2261.52
1981-10-01,2294.699
1982-01-01,2371.815
1982-04-01,2383.283
1982-07-01,2392.103
1982-10-01,2416.198
1983-01-01,2474.362
1983-04-01,2494.423
1983-07-01,2507.058
1983-10-01,2522.332
1984-01-01,2673.675
1984-04-01,2774.364
1984-07-01,2869.652
1984-10-01,2958.147
1985-01-01,3031.757
1985-04-01,3152.083
1985-07-01,3261.985
1985-10-01,3379.673
1986-01-01,3458.458
1986-04-01,3549.844
1986-07-01,3624.454
1986-10-01,3694.172
1987-01-01,3802.812
1987-04-01,3876.389
1987-07-01,3962.165
1987-10-01,4034.714
1988-01-01,4133.824
1988-04-01,4256.376
1988-07-01,4325.463
1988-10-01,4385.724
1989-01-01,4471.63
1989-04-01,4546.288
1989-07-01,4681.262
1989-10-01,4734.202
1990-01-01,4763.221
1990-04-01,4741.456
1990-07-01,4739.501
1990-10-01,4681.873
1991-01-01,4683.696
1991-04-01,4661.1
1991-07-01,4669.707
1991-10-01,4681.757
1992-01-01,4737.906
1992-04-01,4737.839
1992-07-01,4768.661
1992-10-01,4802.628
1993-01-01,4799.867
1993-04-01,4836.076
1993-07-01,4874.116
1993-10-01,4922.347
1994-01-01,4954.545
1994-04-01,4995.546
1994-07-01,5026.489
1994-10-01,5040.119
1995-01-01,5060.145
1995-04-01,5086.827
1995-07-01,5123.366
1995-10-01,5169.551
1996-01-01,5214.244
1996-04-01,5260.957
1996-07-01,5305.334
1996-10-01,5345.786
1997-01-01,5385.548
1997-04-01,5454.516
1997-07-01,5484.812
1997-10-01,5578.056
1998-01-01,5702.06
1998-04-01,5852.539
1998-07-01,6004.417
1998-10-01,6157.278
1999-01-01,6289.439
1999-04-01,6443.54
1999-07-01,6604.106
1999-10-01,6782.967
2000-01-01,7134.706
2000-04-01,7451.474
2000-07-01,7727.73
2000-10-01,8043.227
2001-01-01,8681.466
2001-04-01,8878.709
2001-07-01,9092.797
2001-10-01,9329.058
2002-01-01,9572.192
2002-04-01,9745.431
2002-07-01,9914.159
2002-10-01,10087.503
2003-01-01,10292.29
2003-04-01,10431.946
2003-07-01,10600.583
2003-10-01,10831.658
2004-01-01,11354.131
2004-04-01,11689.277
2004-07-01,12167.671
2004-10-01,12630.791
2005-01-01,13091.881
2005-04-01,13496.701
2005-07-01,13974.45
2005-10-01,14416.485
2006-01-01,14213.727
2006-04-01,14248.163
2006-07-01,14260.302
2006-10-01,14201.81
2007-01-01,13755.298
2007-04-01,13405.932
2007-07-01,13013.659
2007-10-01,12576.479
2008-01-01,11813.0
2008-04-01,11230.332
2008-07-01,10681.103
2008-10-01,10210.112
2009-01-01,9689.993
2009-04-01,9300.688
2009-07-01,9062.286
2009-10-01,8909.862
2010-01-01,8948.294
2010-04-01,8918.878
2010-07-01,8848.048
2010-10-01,8772.264
2011-01-01,8511.119
2011-04-01,8457.342
2011-07-01,8428.583
2011-10-01,8329.034
2012-01-01,8213.0
2012-04-01,8453.701
2012-07-01,8738.64
2012-10-01,8984.084
2013-01-01,9451.16
2013-04-01,9968.99
2013-07-01,10472.847
2013-10-01,10843.135
2014-01-01,11180.549
2014-04-01,11594.041
2014-07-01,11972.579
2014-10-01,12231.712
2015-01-01,12595.935
2015-04-01,12980.216
2015-07-01,13365.208
2015-10-01,13637.719
2016-01-01,13931.323
2016-04-01,14389.813
2016-07-01,14817.842
2016-10-01,15183.287
2017-01-01,15553.97
2017-04-01,15983.505
2017-07-01,16409.589
2017-10-01,16753.24
2018-01-01,16991.638
2018-04-01,17415.779
2018-07-01,17764.578
2018-10-01,18061.78
2019-01-01,18634.149
2019-04-01,18908.6
2019-07-01,19077.577
2019-10-01,19329.838
2020-01-01,19656.53
